NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-11;Escola Pública;13;2;1G;Não;7.766.252;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;6,8;7,5;10,00;65.625;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-12;Escola Pública;14;3;3E;Não;72.055.576.666.666.600;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;7;7,5;6,50;7;7.944.446.666.666.660;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-13;Rede Decisão/União;13;2;3J;Sim;9.354.725.666.666.660;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;958.335;9,6;6.875;9,00;10;9.944.453.333.333.330;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-14;Escola Pública;7;0;0C;Não;7.125.001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;79.166.799.999.999.900;10;7,5;4,75;2,5;6.916.665;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-15;Escola Pública;13;0;3E;Não;7.013.888.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;666.667;4,5;7,5;8,60;7;6.277.773.333.333.330;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-16;Escola Pública;12;2;2C;Não;7.698.890.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;9,3;6.875;7,00;8.125;7.944.443.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-17;Escola Pública;18;3;7B;Não;664.396;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;6,1;6,25;5,00;765.625;829.167;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-18;Escola Pública;14;1;3C;Não;8.307.780.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;9,9;7,5;8,00;8.749.999.999.999.990;8.222.226.666.666.660;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-19;Escola Pública;10;2;2N;Não;66.788.913.333.333.300;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;7,7;4.375;2,50;6.458.333.333.333.330;777.778;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-20;Escola Pública;13;3;3F;Não;8.131.388.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;624.999;9,4;7,5;8,30;8.541.666.666.666.660;6.777.780.000.000.000;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-21;Escola Pública;11;0;1D;Não;7.460.002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;8,3;7,5;7,25;7,5;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-22;Escola Pública;13;2;4F;Não;78.052.090.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;7,5;7,5;7,5;7,00;796.875;804.167;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-23;Escola Pública;9;0;1M;Não;6.218.335;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;6,8;7,5;0,00;6,25;7.916.665;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-24;Escola Pública;11;1;1G;Não;6.631.252;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;1;7,5;10,00;78.125;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-25;Escola Pública;8;0;0C;Não;6.966.669;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;10;7,5;0,00;7,5;7.583.335;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-26;Escola Pública;8;1;0D;Não;8.955.835;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;9,8;7,5;10,00;8.125;7.416.665;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-27;Escola Pública;10;2;2F;Não;8.181.112.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;8,6;6,25;7,00;8;822.222;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-28;Einstein;15;4;5X;;8.696.667.999.999.990;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;10;7,5;8,20;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-29;Rede Decisão/União;17;3;6C;Sim;6.878.125.166.666.660;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;0;9;7,5;6,30;828.125;8.666.667.499.999.990;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-30;Rede Decisão/União;16;2;6B;Não;7.311.667.166.666.660;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;7,1;6,25;5,80;7,5;75.833.325;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-31;Escola Pública;13;0;3E;Não;6.563.055.666.666.660;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;875.001;3,6;7,5;6,00;7.291.666.666.666.660;6.444.439.999.999.990;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-32;Rede Decisão/União;17;4;5F;Não;7.679.582.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;7,5;9,7;6.875;6,60;84.375;8.124.995;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-33;Escola Pública;10;0;1N;Não;5.604.168.666.666.660;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;6,5;7,5;0,00;6.875;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-34;Escola Pública;12;0;2L;Não;6.330.001.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;79.166.799.999.999.900;6,9;7,5;3,50;7;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-35;Escola Pública;10;0;1F;Não;5.988.752;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;7,6;7,5;0,00;71.875;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-36;Escola Pública;10;1;0A;Não;7.550.001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;10;5;9,50;2,5;7.749.995;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-37;Rede Decisão/União;11;1;3L;Sim;9.687.504;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;10;10;9,00;9.375;975.001;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-38;Escola Pública;7;0;0B;Não;8.958.334;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;891.668;10;10;10,00;7,5;658.333;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-39;Escola Pública;10;3;1A;Não;7.352.085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9;7,5;5,50;71.875;7.666.665;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-40;Escola Pública;10;1;2N;Não;6.499.723.333.333.330;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;69.166.799.999.999.900;9,2;7,5;0,00;7.291.666.666.666.660;7.444.443.333.333.330;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-41;Escola Pública;15;1;4L;Sim;7.386.391.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;541.667;8,8;7,5;6,00;8.125;911.112;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-42;Escola Pública;9;0;0D;Não;7.954.169;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;10;7,5;8,50;6.875;7.333.335;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-43;Rede Decisão/União;14;4;4B;Sim;8.155.003.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;9,4;5.625;5,30;8.958.333.333.333.330;9.166.676.666.666.660;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-44;Escola Pública;8;0;0B;Não;8.750.001.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;10;10;8,50;7,5;6.999.995;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-45;Escola Pública;9;1;0D;Não;7.263.334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9,9;2,5;10,00;2,5;666.666;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-46;Escola Pública;17;1;6A;Não;5.688.333.833.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;4,9;7,5;3,60;7,5;57.083.325;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-47;Rede Decisão/União;14;4;4L;Sim;8.188.612.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;9,2;5.625;6,60;8.749.999.999.999.990;8.722.226.666.666.660;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-48;Rede Decisão/União;11;2;2D;Sim;9.040.420.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9,4;7,5;9,50;59.375;958.334;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-49;Escola Pública;9;1;0G;Não;7.937.502;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;10.000.020.000.000.000;10;7,5;7,50;6.875;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-50;Escola Pública;14;1;3M;Não;7.073.542.833.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;5,8;7,5;7,60;796.875;75.000.025;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-51;Escola Pública;10;2;2H;Não;6.846.668;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;6,4;6.875;4,50;5.625;758.333;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-52;Escola Pública;12;1;3B;Não;67.552.085;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;708.333;6;7,5;4,00;796.875;75.000.025;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-53;Escola Pública;15;1;3A;Não;7.336.876.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;8,2;7,5;6,60;796.875;6.791.665;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-54;Escola Pública;18;1;7A;Sim;6.432.500.999.999.990;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;916.668;6,1;6.875;3,00;7,5;8.791.664.999.999.990;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-55;Escola Pública;12;2;2D;Não;7.393.752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;8;7,5;6,00;84.375;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-56;Escola Pública;12;2;1M;Não;6.908.335.000.000.000;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;6,5;4.375;7,50;6.875;7.916.665;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
