NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020
ALUNO-98;Escola Pública;16;0;3J;Não;6.314.166.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;5.8;7.5;5.666.666.666.666.660;8.125;666.666;2.5
ALUNO-99;Escola Pública;10;0;2G;Não;641.389;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.500.020.000.000.000;8;7.5;0;7.916.666.666.666.660;7.111.106.666.666.660;10
ALUNO-100;Escola Pública;13;2;3C;Sim;7.744.167;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;708.333;4.7;7.5;9;8.125;866.667;10
ALUNO-101;Escola Pública;10;0;1C;Não;72.558.353.333.333.300;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;8.3;5;8;7.291.666.666.666.660;7.333.333.333.333.330;5
ALUNO-102;Rede Decisão/União;17;3;7B;Sim;8.733.751.333.333.330;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;9.2;6.875;7.666.666.666.666.660;90.625;9.666.670.000.000.000;10
ALUNO-103;Escola Pública;11;2;1H;Não;4.854.723.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;74.166.799.999.999.900;5.1;5;0;6.041.666.666.666.660;7.444.443.333.333.330;5
ALUNO-104;Escola Pública;13;4;3F;Sim;8.539.168.666.666.660;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9.8;5;7;8.125;9.333.333.333.333.330;10
ALUNO-105;Rede Decisão/União;17;3;6A;Não;71.214.596.666.666.600;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;8.3;6.875;6.333.333.333.333.330;765.625;704.167;5
ALUNO-106;Escola Pública;12;1;3F;Não;8.832.500.666.666.660;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;9.6;7.5;8.666.666.666.666.660;8.958.333.333.333.330;8.5;10
ALUNO-107;Escola Pública;16;3;6A;Não;5.518.958;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;0;6.1;5.625;4.5;578.125;6.291.665;10
ALUNO-108;Escola Pública;14;1;3C;Não;6.658.610.666.666.660;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;6.25;4.8;7.5;7.666.666.666.666.660;8.125;7.388.886.666.666.660;5
ALUNO-109;Escola Pública;13;4;4F;Não;7.355.834.833.333.330;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;5.8;7.5;5.666.666.666.666.660;8.125;85.416.725;10
ALUNO-110;Escola Pública;14;1;3L;Não;7.718.541.500.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;708.333;9.4;7.5;8;796.875;74.166.675;5
ALUNO-111;Escola Pública;12;2;2R;Não;37.799.986.666.666.600;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;0;2.9;6.875;0;6.458.333.333.333.330;6.833.326.666.666.660;5
ALUNO-112;Escola Pública;16;2;6B;Não;52.162.495;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;0;4.3;7.5;2;78.125;71.249.975;10
ALUNO-113;Escola Pública;11;0;2D;Não;78.425.020.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;9.4;7.5;5;8.125;7.5;10
ALUNO-114;Escola Pública;9;1;0H;Sim;9.075.004;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;10;6.25;10;10;1.000.001;5
ALUNO-115;Rede Decisão/União;13;3;5B;Não;8.213.058.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9.1;7.5;5.666.666.666.666.660;8.541.666.666.666.660;8.277.783.333.333.330;10
ALUNO-116;Escola Pública;8;1;0H;Não;6.345.836;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;74.166.799.999.999.900;10;4.375;7;2.5;25.833.399.999.999.900;10
ALUNO-117;Escola Pública;12;2;2P;Não;8.081.669.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;9.7;5;9;8.749.999.999.999.990;7.833.336.666.666.660;5
ALUNO-118;Escola Pública;9;1;1A;Não;8.874.585.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;9.3;7.5;10;78.125;7.666.665;10
ALUNO-119;UNISA;18;1;8A;;5.960.001;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas avaliações de voluntariado.;Ponto a melhorar em 2021: As suas notas na Faculdade.;;875.001;0;5.625;7.4;0;0;10
ALUNO-120;Escola Pública;9;1;1B;Sim;8.942.503;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.000.020.000.000.000;9.4;7.5;9.5;8.125;9.000.005;10
ALUNO-121;Escola Pública;11;1;2M;Não;7.832.084.999.999.990;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;7.9;8.75;5;84.375;7.916.665;10
ALUNO-122;Escola Pública;8;1;1F;Não;8.478.752;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;7.8;7.5;9.5;71.875;8.25;10
